transaction_id,date,customer_id,items,items_count,total_value,marketing_channel,has_promo
71,2025-06-02,54,1023;1022;1020,3,13.81,none,0
72,2025-06-02,184,1028;1029,2,6.84,none,0
73,2025-06-02,142,1007;1027,2,4.54,none,0
74,2025-06-02,259,1021;1004,2,9.32,none,0
75,2025-06-02,128,1018;1027;1026,3,6.65,email,1
76,2025-06-02,259,1012;1009;1017;1022,4,9.93,none,0
77,2025-06-02,253,1018;1009;1029;1004;1003;1008,6,10.81,none,0
78,2025-06-02,124,1019;1016;1013;1015,4,6.9,none,1
79,2025-06-02,169,1018;1012;1027;1030,4,13.94,none,0
80,2025-06-02,235,1002;1030,2,8.63,none,1
81,2025-06-02,248,1002;1004,2,4.17,email,0
82,2025-06-02,298,1002;1019;1024;1004,4,8.0,none,1
83,2025-06-02,246,1020;1019;1010;1022,4,15.62,none,0
84,2025-06-02,200,1028;1026;1029;1007;1030,5,20.05,none,0
85,2025-06-02,99,1009;1005;1022,3,8.13,social,0
86,2025-06-02,44,1026;1020;1023;1024;1019;1021,6,23.33,social,0
87,2025-06-02,113,1010;1009;1003;1011;1013,5,5.82,email,1
88,2025-06-02,99,1023;1008;1026;1015,4,9.33,none,0
89,2025-06-02,135,1002;1024;1011;1013;1014,5,6.95,email,1
90,2025-06-02,190,1002;1016;1001;1003,4,7.94,social,0
91,2025-06-02,18,1012,1,1.34,none,0
92,2025-06-02,33,1017;1026;1024;1019;1008;1022,6,18.74,none,0
93,2025-06-02,93,1026;1023;1004;1025;1005,5,10.06,none,1
94,2025-06-02,36,1004;1005,2,2.93,none,0
95,2025-06-02,263,1006;1019;1015,3,5.51,none,0
96,2025-06-02,101,1030,1,8.45,none,0
97,2025-06-02,156,1002;1001;1024;1010,4,7.57,none,0
98,2025-06-02,78,1018;1020,2,5.22,none,0
99,2025-06-02,191,1018;1008,2,2.91,none,1
100,2025-06-02,167,1011;1009;1014;1030,4,11.66,email,0
101,2025-06-02,300,1028;1002;1009;1024;1003;1014,6,11.87,none,0
102,2025-06-02,126,1028;1007;1008;1005,4,7.07,none,1
103,2025-06-02,73,1029;1030,2,11.49,social,0
104,2025-06-02,279,1023;1024;1010,3,6.65,none,0
105,2025-06-02,252,1002;1001;1024;1025,4,8.28,social,0
106,2025-06-03,60,1002;1018;1027,3,5.13,email,1
107,2025-06-03,7,1026;1004;1007;1006;1005,5,8.61,email,0
108,2025-06-03,176,1028;1030;1003,3,14.21,none,0
109,2025-06-03,152,1017;1027;1013;1014;1015,5,7.55,none,1
110,2025-06-03,13,1019;1021;1024,3,12.91,none,0
111,2025-06-03,164,1010;1020;1004;1007;1013;1019;1005,7,13.94,social,1
112,2025-06-03,79,1023;1004,2,5.2,email,0
113,2025-06-03,19,1001;1026;1025,3,7.28,social,0
114,2025-06-03,61,1021;1024;1004,3,9.8,none,1
115,2025-06-03,22,1028;1029;1004;1013;1008;1030,6,20.77,social,0
116,2025-06-03,113,1028;1009;1024,3,6.58,social,0
117,2025-06-03,249,1003,1,1.73,none,1
118,2025-06-03,167,1018;1008;1029,3,6.12,social,0
119,2025-06-03,240,1026;1001;1025;1003;1004,5,9.93,email,1
120,2025-06-03,191,1025;1027;1026;1022,4,14.09,none,1
121,2025-06-03,219,1014;1003;1010,3,4.59,none,0
122,2025-06-03,261,1023;1021;1024;1022,4,19.11,none,0
123,2025-06-03,135,1011;1001;1025,3,5.38,none,0
124,2025-06-03,39,1027;1029;1030,3,14.49,none,0
125,2025-06-03,47,1030;1029;1020,3,15.56,none,0
126,2025-06-03,192,1027;1026;1009;1024;1003;1025,6,13.07,email,0
127,2025-06-03,120,1017,1,1.32,none,0
128,2025-06-03,212,1030;1007;1029;1005,4,12.17,social,1
129,2025-06-03,133,1002;1004;1020,3,8.24,none,0
130,2025-06-03,71,1028;1024;1003;1004;1005;1030,6,16.27,none,1
131,2025-06-03,28,1027;1026;1025,3,8.33,none,0
132,2025-06-03,136,1011;1019;1013,3,5.61,email,1
133,2025-06-03,239,1002;1024;1003,3,6.18,social,0
134,2025-06-03,154,1018;1016;1010,3,4.48,none,0
135,2025-06-03,169,1007;1008;1026;1030,4,13.66,social,1
136,2025-06-03,189,1024;1026,2,4.86,email,1
137,2025-06-03,79,1002;1017;1024;1004,4,7.61,none,0
138,2025-06-03,232,1004;1007;1015;1019;1008;1005,6,10.23,social,1
139,2025-06-03,156,1024;1010,2,3.52,email,0
140,2025-06-03,72,1028;1021;1024;1020,4,15.32,none,1
141,2025-06-03,275,1028;1020;1029;1007;1030,5,16.84,social,1
142,2025-06-03,286,1029;1030,2,10.34,none,1
143,2025-06-03,113,1019,1,3.54,none,0
144,2025-06-03,148,1027;1026,2,5.76,none,1
145,2025-06-03,218,1003;1004,2,3.62,email,1
146,2025-06-03,231,1018;1017;1026;1025;1016,5,9.73,none,0
147,2025-06-03,268,1006;1005,2,1.78,none,0
148,2025-06-03,177,1006;1007;1008,3,4.39,none,0
149,2025-06-03,148,1020;1030,2,12.52,social,0
150,2025-06-03,299,1007;1006;1005;1020,4,7.39,none,0
151,2025-06-04,270,1006;1009,2,1.58,none,0
152,2025-06-04,285,1018;1016;1005,3,3.4,email,1
153,2025-06-04,262,1002;1017;1001;1004,4,6.57,social,1
154,2025-06-04,9,1022,1,6.61,email,0
155,2025-06-04,170,1028;1014;1029;1030,4,16.52,email,0
156,2025-06-04,229,1020;1019;1021;1010,4,14.12,none,1
157,2025-06-04,134,1006;1007,2,2.18,email,1
158,2025-06-04,223,1021;1024;1022,3,15.98,none,0
159,2025-06-04,288,1006;1007,2,2.21,none,1
160,2025-06-04,58,1006;1007,2,2.46,none,0
161,2025-06-04,71,1028;1029;1003,3,8.8,email,0
162,2025-06-04,249,1029;1004;1007;1008;1005,5,8.96,none,1
163,2025-06-04,2,1025;1008;1003,3,6.0,none,0
164,2025-06-04,25,1002;1018;1006,3,4.17,none,0
165,2025-06-04,226,1026;1001;1003;1014;1016,5,9.2,none,1
166,2025-06-04,8,1023,1,3.13,social,0
167,2025-06-04,227,1022,1,5.99,none,1
168,2025-06-04,219,1026;1025,2,4.57,none,1
169,2025-06-04,228,1009;1023;1024;1025,4,8.02,none,0
170,2025-06-04,51,1023,1,3.13,email,0
171,2025-06-04,13,1018;1017;1023;1015;1019,5,9.1,none,1
172,2025-06-04,284,1018;1029,2,3.41,none,1
173,2025-06-04,76,1025;1026;1022,3,10.01,social,1
174,2025-06-04,217,1017;1001;1029;1025,4,8.42,none,0
175,2025-06-04,68,1010;1007;1029;1030,4,11.56,social,1
176,2025-06-04,31,1029;1030,2,11.49,email,0
177,2025-06-04,204,1002;1004;1020,3,7.38,email,1
178,2025-06-04,9,1028;1029,2,6.29,none,1
179,2025-06-04,20,1021,1,7.25,none,0
180,2025-06-04,137,1011;1012;1013;1027,4,6.3,social,1
181,2025-06-05,274,1010;1009;1013;1014;1019,5,7.08,none,1
182,2025-06-05,113,1019;1016;1008;1015,4,7.0,social,1
183,2025-06-05,126,1017;1003;1022,3,9.89,social,0
184,2025-06-05,130,1009;1013;1008;1010,4,4.93,email,1
185,2025-06-05,255,1028;1011;1008;1029,4,8.44,email,1
186,2025-06-05,45,1026;1024,2,5.34,none,0
187,2025-06-05,250,1025;1022;1003;1020,4,14.75,none,0
188,2025-06-05,273,1013;1014;1024;1004,4,6.9,email,0
189,2025-06-05,132,1018;1009;1017;1003,4,5.09,none,0
190,2025-06-05,263,1002;1026;1004;1003;1019,5,11.35,none,1
191,2025-06-05,281,1028;1019,2,6.35,none,1
192,2025-06-05,114,1018;1017;1019;1011;1015;1016,6,8.69,social,1
193,2025-06-05,122,1006;1012;1027;1025,4,6.8,none,1
194,2025-06-05,198,1028;1012;1015;1030,4,14.64,email,0
195,2025-06-05,193,1019;1012;1023;1010,4,9.41,none,0
196,2025-06-05,258,1006;1007,2,2.27,none,1
197,2025-06-05,14,1011;1004,2,3.39,none,0
198,2025-06-05,121,1018;1016;1015,3,4.13,email,0
199,2025-06-05,154,1028;1006;1026;1005,4,8.8,social,0
200,2025-06-05,137,1009;1013;1022;1010,4,10.15,none,0
201,2025-06-05,176,1012;1009;1013;1027,4,5.88,none,1
202,2025-06-05,120,1016;1010,2,3.07,email,1
203,2025-06-05,43,1020;1017;1027;1025,4,10.5,email,0
204,2025-06-05,197,1002;1016;1027,3,7.03,social,0
205,2025-06-05,50,1028;1011;1029;1030,4,15.09,none,1
206,2025-06-05,186,1023;1029;1003;1006;1030,5,15.21,social,1
207,2025-06-05,240,1016;1027;1014;1025,4,8.27,none,0
208,2025-06-05,181,1002;1026;1025;1013;1014,5,10.14,none,0
209,2025-06-05,238,1016;1015,2,2.49,none,1
210,2025-06-05,156,1006;1027;1025,3,5.03,email,1
211,2025-06-05,97,1010;1004;1029;1030,4,14.96,email,0
212,2025-06-05,65,1018;1019;1015,3,5.08,email,1
213,2025-06-05,89,1004;1008;1026;1005,4,7.47,none,1
214,2025-06-05,257,1027;1026;1001;1004;1025,5,12.35,social,0
215,2025-06-05,294,1007;1021;1005,3,9.65,none,0
216,2025-06-06,62,1006;1004;1005,3,3.5,none,1
217,2025-06-06,6,1006;1008,2,2.85,email,0
218,2025-06-06,277,1020;1006;1003;1022,4,13.56,social,0
219,2025-06-06,91,1024;1004;1007;1008;1005,5,8.52,none,0
220,2025-06-06,273,1012;1016,2,2.66,email,1
221,2025-06-06,230,1018;1017;1027;1015;1019,5,10.06,none,0
222,2025-06-06,57,1011;1010,2,2.26,none,1
223,2025-06-06,183,1028;1029;1011;1006;1030,5,17.53,social,0
224,2025-06-06,237,1017;1004;1019;1015;1016;1005,6,10.05,email,1
225,2025-06-06,74,1019;1016;1015,3,6.52,social,0
226,2025-06-06,278,1013,1,1.39,social,1
227,2025-06-06,54,1002;1027;1024;1003;1030,5,17.63,none,0
228,2025-06-06,181,1002;1001;1004;1003;1025;1013;1022,7,18.28,email,0
229,2025-06-06,76,1025,1,2.11,none,0
230,2025-06-06,219,1019;1023;1021;1022,4,20.53,none,0
231,2025-06-06,275,1024;1005,2,2.98,none,0
232,2025-06-06,68,1017;1020;1030;1004;1007;1022;1005,7,24.92,email,0
233,2025-06-06,245,1028;1019;1023;1024,4,12.59,none,0
234,2025-06-06,237,1027;1001;1026;1025,4,10.28,none,0
235,2025-06-06,54,1017;1020;1023;1011;1014;1022,6,17.68,email,0
236,2025-06-06,2,1007;1013;1001;1025,4,6.03,none,1
237,2025-06-06,202,1018;1009;1017;1022,4,9.74,email,0
238,2025-06-06,134,1023;1024,2,4.22,email,1
239,2025-06-06,165,1012;1013,2,2.82,none,0
240,2025-06-06,111,1027;1008;1024,3,6.45,email,1
241,2025-06-06,140,1028;1009;1010,3,5.86,none,0
242,2025-06-06,238,1002;1026;1001;1003;1004,5,11.3,social,0
243,2025-06-06,92,1018;1015,2,1.99,email,1
244,2025-06-06,98,1017;1024;1029;1007;1019;1021,6,16.15,none,1
245,2025-06-06,92,1002;1004,2,4.17,email,0
246,2025-06-06,95,1018;1017;1016;1025,4,5.52,email,1
247,2025-06-06,231,1020,1,4.07,email,0
248,2025-06-06,58,1020;1022,2,10.68,email,0
249,2025-06-06,283,1002;1001;1026;1004,4,9.34,email,0
250,2025-06-06,103,1028;1009;1023;1029;1025;1004,6,14.81,none,0
251,2025-06-06,68,1030,1,8.45,email,0
252,2025-06-06,103,1018;1023;1014;1030,4,13.96,none,0
253,2025-06-06,77,1023;1021;1024;1022,4,17.47,email,1
254,2025-06-06,85,1010;1020;1011;1007;1013,5,8.84,none,1
255,2025-06-06,197,1019;1008;1015,3,6.52,email,0
256,2025-06-06,144,1018;1017;1015,3,3.52,none,0
257,2025-06-06,86,1011;1009,2,1.98,none,0
258,2025-06-06,191,1002;1003,2,4.06,none,0
259,2025-06-06,159,1019;1007;1024;1030,4,15.65,none,0
260,2025-06-06,173,1007;1008,2,3.47,none,0
261,2025-06-06,204,1020;1023;1024;1019;1012,5,14.2,email,0
262,2025-06-06,75,1004,1,2.07,none,0
263,2025-06-06,45,1020;1022;1015,3,11.73,none,0
264,2025-06-06,57,1006;1005;1008;1004,4,5.78,email,0
265,2025-06-06,101,1023;1008,2,5.06,email,0
266,2025-06-06,174,1002;1017;1015,3,4.47,social,0
267,2025-06-07,232,1002;1024,2,4.22,social,0
268,2025-06-07,215,1024;1011;1007;1013;1014;1012,6,8.01,social,1
269,2025-06-07,27,1019;1020,2,7.61,social,0
270,2025-06-07,233,1006;1016;1008,3,4.33,email,1
271,2025-06-07,293,1028;1018;1017;1015,4,7.32,email,0
272,2025-06-07,199,1006;1027;1003,3,5.88,none,0
273,2025-06-07,202,1025;1019;1017;1022,4,12.9,social,1
274,2025-06-07,191,1018;1017;1014,3,3.7,none,0
275,2025-06-07,159,1018;1017;1015,3,3.52,email,0
276,2025-06-07,258,1019;1016,2,5.47,none,0
277,2025-06-07,1,1028;1009;1029;1030,4,13.85,none,1
278,2025-06-07,87,1001,1,1.95,none,0
279,2025-06-07,77,1002;1024;1003;1004,4,7.44,email,1
280,2025-06-07,37,1002;1028;1001;1024;1011;1014;1012,7,13.86,none,0
281,2025-06-07,269,1007;1011;1013;1030,4,12.79,none,0
282,2025-06-07,160,1024;1022,2,8.73,none,0
283,2025-06-07,243,1028;1007,2,5.34,email,0
284,2025-06-07,129,1017;1024;1022,3,10.05,none,0
285,2025-06-07,182,1028;1012;1013;1010,4,8.02,social,0
286,2025-06-07,292,1017;1020;1016;1008;1022,5,15.86,none,0
287,2025-06-07,171,1028;1025;1014;1012;1008,5,9.08,none,1
288,2025-06-07,181,1021;1020,2,11.32,none,0
289,2025-06-07,132,1018;1017;1025;1015;1019,5,8.25,email,1
290,2025-06-07,124,1024;1013;1015;1019;1021,5,13.34,none,1
291,2025-06-07,284,1028;1030;1015;1006;1005,5,12.09,none,1
292,2025-06-07,257,1018;1026;1020;1001;1024;1004,6,14.58,none,0
293,2025-06-07,123,1019;1026;1020,3,10.83,none,0
294,2025-06-07,190,1024;1004,2,4.19,none,0
295,2025-06-07,116,1007;1008,2,3.47,none,0
296,2025-06-07,81,1002;1011;1024;1003,4,7.5,social,0
297,2025-06-07,118,1013;1026;1008;1001,4,8.58,none,0
298,2025-06-07,285,1017;1020;1013;1006;1008;1005,6,8.48,email,1
299,2025-06-07,280,1019;1001,2,5.49,none,0
300,2025-06-07,208,1028;1017;1001;1025;1003,5,10.35,none,1
301,2025-06-07,22,1002;1021,2,9.35,none,0
302,2025-06-07,239,1028;1020;1029;1016;1030,5,17.92,social,1
303,2025-06-07,145,1025;1016;1021;1005,4,11.18,none,1
304,2025-06-07,184,1001;1004,2,3.27,email,1
305,2025-06-07,117,1001;1004;1007;1006;1008;1005,6,8.06,email,1
306,2025-06-07,52,1028;1015;1030,3,12.17,none,1
307,2025-06-07,84,1023;1024;1025;1021;1030,5,23.06,social,0
308,2025-06-07,40,1027;1021,2,10.25,none,0
309,2025-06-07,184,1018;1016,2,3.08,email,0
310,2025-06-07,173,1005;1027;1025,3,5.97,none,0
311,2025-06-07,25,1001,1,1.61,social,1
312,2025-06-07,148,1009;1016,2,2.39,email,1
313,2025-06-07,296,1018;1023;1013;1004,4,7.83,none,0
314,2025-06-07,197,1012;1007;1014;1010,4,5.51,email,0
315,2025-06-07,191,1023;1021;1024;1020,4,16.57,email,0
316,2025-06-07,247,1017;1016,2,2.77,none,1
317,2025-06-07,220,1009;1023;1025;1011;1019,5,10.76,none,0
318,2025-06-07,120,1009;1023;1024;1014;1019,5,10.05,email,1
319,2025-06-07,137,1002;1018;1026;1001;1003;1004;1025;1011,8,13.59,none,1
320,2025-06-07,254,1028;1016;1029,3,8.77,none,0
321,2025-06-07,152,1003;1007;1019;1008;1030,5,17.42,none,0
322,2025-06-07,59,1017;1009;1003,3,3.61,none,1
323,2025-06-07,109,1016;1013;1014;1020,4,8.71,none,0
324,2025-06-07,265,1016;1008;1003,3,5.82,none,0
325,2025-06-07,77,1028;1009;1005;1030,4,13.77,social,0
326,2025-06-07,267,1006;1007;1008;1005,4,5.25,none,0
327,2025-06-08,94,1005,1,0.71,email,1
328,2025-06-08,36,1028;1027;1029;1010,4,11.24,none,0
329,2025-06-08,287,1021;1005,2,8.11,email,0
330,2025-06-08,140,1028;1026;1025,3,9.13,social,0
331,2025-06-08,91,1011;1012,2,2.17,none,1
332,2025-06-08,161,1017;1014,2,2.23,none,1
333,2025-06-08,98,1011;1012,2,2.66,email,0
334,2025-06-08,74,1028;1009;1023,3,7.59,none,0
335,2025-06-08,128,1027;1023;1024;1021;1022,5,22.11,none,0
336,2025-06-08,217,1026;1001;1029;1025;1030,5,18.77,none,0
337,2025-06-08,271,1002;1024;1003;1004;1007;1015;1019,7,14.38,none,0
338,2025-06-08,153,1019;1023;1017;1022,4,14.6,none,0
339,2025-06-08,265,1028;1017;1029;1003;1030,5,18.57,social,0
340,2025-06-08,265,1014;1001;1022,3,7.93,none,1
341,2025-06-08,247,1002;1003;1004,3,5.27,email,1
342,2025-06-08,203,1028;1017;1029;1015;1006;1019,6,12.79,none,1
343,2025-06-08,208,1027;1015,2,3.8,none,1
344,2025-06-08,37,1021;1022,2,13.86,none,0
345,2025-06-08,130,1002;1014,2,2.82,social,1
346,2025-06-08,289,1005,1,0.77,email,1
347,2025-06-08,295,1018;1001;1025;1011;1016,5,8.46,none,0
348,2025-06-08,256,1002;1020;1024;1025;1021,5,17.65,none,0
349,2025-06-08,285,1028;1001;1029;1021;1030,5,24.49,email,0
350,2025-06-08,152,1002,1,2.1,social,0
351,2025-06-08,29,1027;1003;1026;1025,4,10.29,email,0
352,2025-06-08,225,1007;1026;1025,3,6.87,none,0
353,2025-06-08,177,1028;1023;1007;1014;1022,5,16.31,none,0
354,2025-06-08,295,1018;1017;1016;1015,4,5.45,none,0
355,2025-06-08,218,1002;1024;1004;1003;1021,5,15.5,social,0
356,2025-06-08,154,1027;1026;1020;1009;1023;1015,6,14.04,none,1
357,2025-06-08,221,1012;1014;1009,3,2.83,none,1
358,2025-06-08,95,1002;1007;1001,3,4.57,none,1
359,2025-06-08,68,1001;1003;1025;1014;1015;1019,6,9.81,none,1
360,2025-06-08,6,1018;1017;1014,3,3.7,none,0
361,2025-06-08,222,1017;1016;1015;1019;1022,5,14.45,none,0
362,2025-06-09,195,1002;1005;1006;1019;1022,5,12.46,none,1
363,2025-06-09,124,1026;1023;1025;1008;1030,5,18.84,none,0
364,2025-06-09,107,1019;1013;1015,3,4.91,none,1
365,2025-06-09,43,1018;1017;1024;1020,4,8.66,social,0
366,2025-06-09,69,1008;1001;1004;1007;1021;1005,6,12.63,social,1
367,2025-06-09,93,1020;1003;1004,3,7.41,social,1
368,2025-06-09,296,1001;1026;1003,3,7.13,none,0
369,2025-06-09,63,1006;1012;1018;1005,4,4.01,none,1
370,2025-06-09,131,1007;1005;1004;1025,4,6.58,social,0
371,2025-06-09,43,1018;1017;1012,3,3.44,email,1
372,2025-06-09,172,1014;1024;1022,3,9.96,email,0
373,2025-06-09,16,1030;1006;1022,3,15.98,email,0
374,2025-06-09,284,1026;1025,2,5.33,none,0
375,2025-06-09,74,1023;1021,2,10.38,none,0
376,2025-06-09,101,1002;1003,2,4.06,none,0
377,2025-06-09,183,1001;1024;1004,3,6.14,none,0
378,2025-06-09,160,1018;1027;1025,3,5.58,none,1
379,2025-06-09,106,1025;1004,2,4.18,none,0
380,2025-06-09,256,1027;1029,2,6.04,none,0
381,2025-06-09,164,1025;1001;1030,3,12.51,none,0
382,2025-06-09,124,1027,1,3.0,social,0
383,2025-06-09,61,1028;1006,2,4.12,none,1
384,2025-06-09,228,1011;1018;1008,3,4.4,none,0
385,2025-06-09,298,1026;1011;1013;1014;1012,5,8.59,none,0
386,2025-06-09,67,1017;1029;1020,3,7.21,none,1
387,2025-06-09,36,1007;1008;1004;1005,4,5.82,email,1
388,2025-06-09,258,1019;1023;1008;1024,4,10.72,none,0
389,2025-06-09,291,1004;1005,2,2.93,none,0
390,2025-06-09,229,1017;1016;1004,3,5.32,social,0
391,2025-06-09,70,1020;1012;1022,3,12.02,email,0
392,2025-06-09,203,1002;1004;1007;1013;1030,5,15.64,none,0
393,2025-06-09,149,1028;1002;1024;1003,4,9.98,none,0
394,2025-06-09,227,1030;1026;1025,3,13.78,email,0
395,2025-06-09,286,1027;1008;1005,3,5.25,email,1
396,2025-06-09,192,1006;1014;1010,3,2.85,social,1
397,2025-06-09,135,1011;1013;1014,3,4.03,none,0
398,2025-06-09,97,1028;1027;1008,3,8.73,none,0
399,2025-06-09,35,1017;1026;1010;1001;1003;1004,6,9.56,email,1
400,2025-06-09,89,1002;1018;1024,3,4.88,social,1
401,2025-06-09,246,1023;1004;1015;1019;1005,5,9.39,none,1
402,2025-06-09,232,1016;1001,2,3.88,email,0
403,2025-06-09,161,1028;1027;1020;1029;1008,5,14.56,none,1
404,2025-06-09,131,1025;1027;1003,3,7.07,none,0
405,2025-06-09,158,1007;1005,2,2.22,social,1
406,2025-06-09,52,1011;1024;1022,3,8.59,none,1
407,2025-06-09,43,1018;1003,2,2.94,email,1
408,2025-06-09,248,1016;1017,2,2.89,none,1
409,2025-06-09,95,1006;1008,2,2.85,none,0
410,2025-06-09,204,1023;1024;1022,3,11.86,none,0
411,2025-06-09,51,1013;1008;1004;1005,4,5.18,email,1
412,2025-06-09,272,1028;1030;1022,3,18.86,social,0
413,2025-06-09,192,1016;1007;1015;1005,4,4.93,email,1
414,2025-06-09,191,1019;1017;1016;1015,4,7.02,none,1
415,2025-06-09,247,1002,1,2.1,social,0
416,2025-06-09,282,1010;1022;1024;1020,4,14.2,none,0
417,2025-06-09,159,1019;1003;1026;1015,4,8.51,none,1
418,2025-06-09,169,1017;1003;1025;1019;1015;1016,6,10.55,social,1
419,2025-06-09,67,1018;1016;1015,3,4.13,social,0
420,2025-06-09,121,1016;1022;1026;1010,4,12.15,none,1
421,2025-06-09,43,1005;1019;1004;1020,4,10.54,none,0
422,2025-06-09,142,1027;1014,2,4.23,none,0
423,2025-06-09,277,1018;1017;1010;1023;1015,5,8.05,none,0
424,2025-06-09,68,1028;1002,2,5.9,none,0
425,2025-06-10,133,1024;1020,2,6.19,email,0
426,2025-06-10,67,1002;1023;1004;1007;1006;1005,6,10.62,none,0
427,2025-06-10,58,1026;1023;1021;1027,4,16.6,email,0
428,2025-06-10,65,1017;1008;1010,3,4.65,none,0
429,2025-06-10,202,1017;1008;1029;1015,4,7.34,email,0
430,2025-06-10,66,1018;1023;1024;1007;1019;1021,6,18.73,none,0
431,2025-06-10,282,1028;1002;1024;1029;1030,5,19.51,none,0
432,2025-06-10,191,1027;1013;1026;1025,4,8.47,email,1
433,2025-06-10,37,1027;1026,2,6.22,none,0
434,2025-06-10,225,1011;1009;1010,3,3.38,email,0
435,2025-06-10,228,1018;1016;1029,3,4.98,email,1
436,2025-06-10,167,1017;1015,2,2.06,none,1
437,2025-06-10,140,1027;1026;1001;1025;1003,5,12.24,email,0
438,2025-06-10,134,1019;1023;1021;1004,4,14.11,none,1
439,2025-06-10,132,1008;1027;1001;1026,4,10.1,none,0
440,2025-06-10,300,1028;1001;1029;1030,4,17.24,none,0
441,2025-06-10,96,1022,1,6.61,none,0
442,2025-06-10,120,1006;1007;1029,3,5.5,none,0
